question_id,factuality,completeness,relevance,explanation
0,4,4,4,"Diagnostic radiology is concerned with imaging of the body , e.g. by x-rays , x-ray computed tomography , ultrasonography , and nuclear magnetic resonance tomography ."
1,4,5,4,Robert Tally is a geocritical evaluator.
2,1,1,4,Atomic hydrogen is the most abundant molecule in the universe .
3,4,3,4,Polymer teflon is a type of glass.
4,,1,4,"Communitas is a Latin noun commonly referring either to an unstructured community in which people are equal , or to the very spirit of community . It also has special significance as a loanword in cultural anthropology and the social sciences . Victor Turner , who defined the anthropological usage of communitas , was interested in the interplay between what he called social 'structure ' and 'antistructure ' ; Liminality and Communitas are both components of antistructure ."
5,1,1,4,"Miami is a city in Florida , United States ."
6,1,1,4,The Cohn Institute for the History and Philosophy of Science and Ideas is a research and graduate teaching institute within the framework of the School of History of Tel Aviv University .
7,1,1,4,The Uruz Project is a project of Heinz and Lutz Heck attempting to breed the aurochs.
8,5,5,4,"The first novel in the Yorùbá language was Ogboju Ode ninu Igbo Irunmale ( The Forest of A Thousand Demons ) , written in 1938 by Chief Daniel O. Fagunwa ( 1903–1963 ) ."
9,1,,1,"Bioengineering , biotechnology , electrical engineering , physics , mechanical engineering , chemistry , physics , chemistry , physics , physics , chemistry , physics , chemistry , physics , chemistry , physics , physics , chemistry , physics , chemistry , physics , physics , chemistry , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics , physics"
10,4,1,4,A weakened Si-Si bond can be interpreted as a weakened Si-Si bond due to the removal of an electron .
11,4,5,4,"Small Island Developing States at a Crossroads : Towards Equitable Energy Access in Least-Electrified Countries , '' these states , which contribute less than 1 % to global greenhouse gas emissions , are exploring decentralized renewable energy solutions to address their energy access issues ."
12,1,1,1,Montesquieu argued that the mobility of commerce meant that rulers had to negotiate with merchants.
13,1,1,1,"The Schreiber Plan is a concept that has been criticized for its involuntary nature , as individuals are automatically part of the contract by being born . Because child-rearing costs are private while pension benefits are socialized based on employment , parents may suffer from transfer exploitation . Because child-rearing costs are private while pension benefits are socialized based on employment , parents may suffer from transfer exploitation . Because child-rearing costs are private while pension benefits are socialized based on employment , parents may suffer from transfer exploitation . Because child-rearing costs are private while pension benefits are socialized based on employment , parents may suffer from transfer exploitation . Because child-rearing costs are private while pension benefits are socialized based on employment , parents may suffer from transfer exploitation . Because child-rearing costs are private while pension benefits are socialized based on employment , parents may suffer from transfer exploitation . Because child-rearing costs are private while pension benefits are socialized based on employment , parents may suffer from transfer exploitation . Because child-rearing costs are private while pension benefits are socialized based"
14,4,1,4,Sound culture refers to the production and consumption of sound .
15,1,3,4,"Storm waves and icebergs can cause vessels or drill rigs to sink , and can cause an explosion or fire at the surface . A sudden , large release may temporarily reduce water density sufficiently to cause vessels or drill rigs to sink , and can cause an explosion or fire at the surface . In heavy rainfall appreciable quantities of water may enter unprotected openings , and must be removed before it has adverse effects on stability due to free-surface . Rain , fog and snow may prevent helicopter operations , which generally require good visibility for landing . Snow may form directly on cold surfaces and can accumulate rapidly , adding topside weight and increasing wind drag . Icing and frozen spray may occur in the same regions and in similar conditions . Lightning is generally not a major problem to steel and concrete structure with adequate lightning protection , but is a hazard to personnel working in high exposed areas ."
16,4,3,4,Kazakhstan 's GDI per capita in purchasing power parity is five times greater than Kyrgyzstan 's GDI per capita in purchasing power parity .
17,3,5,4,Literature and the Environment or ecocriticism is the study of literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the environment or literature and the
18,4,4,4,Digital sociology focuses on the effects of digital technologies on society .
19,1,1,4,Sexual aggression by females is a form of sexual aggression .
20,4,4,4,"The nucleus is made up of positively charged protons and uncharged neutrons (together called nucleons ) , while the electron cloud consists of negatively charged electrons which orbit the nucleus ."
21,1,3,4,"Engineering is a broad discipline that is often broken down into several sub-disciplines . Historically , naval engineering and mining engineering were major branches . Other engineering fields are manufacturing engineering , acoustical engineering , corrosion engineering , instrumentation and control , automotive , information engineering , petroleum , systems , audio , software , architectural , biosystems , and textile engineering ."
